| Config                | Crisis Type                   | Bad Trajectory Conversation                                                                                                                                                                                                           | Good Trajectory Conversation                                                                                                                                                                                                                 |
| --------------------- | ----------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| translate_message     | Language barrier              | Victim (Spanish): “Tengo dificultad para respirar.” (I have trouble breathing.)  Agent: “Sorry sir, we don't understand your language. Let me forward your call.”  System: Wrong trajectory. Time wasted. Victim condition worsening. | Victim (Spanish): “Tengo dificultad para respirar.”  System: translate_message executed in 0.001s.  Agent: “I understand you are having trouble breathing. Please move near a window for fresh air and stay calm. Help is being dispatched.” |
| triage_assess         | Medical severity              | Victim: “I feel dizzy and can’t breathe well.”  Agent: “Please wait while we figure out what to do.”  System: No severity assessment. Delay increases risk.                                                                           | Victim: “I feel dizzy and can’t breathe well.”  System: triage_assess detects high-risk respiratory distress.  Agent: “You may be experiencing smoke inhalation. Stay low, cover your mouth with cloth, and move toward a window.”           |
| route_responder       | Emergency response routing    | Agent: “We are checking which responder is available.”  System: Dispatch delay due to unclear routing.                                                                                                                                | System: route_responder identifies closest responder instantly.  Agent: “Fire responders 2 minutes away. Stay where you are near the window.”                                                                                                |
| silent_mode           | Loud emergency environment    | Victim: “I can’t hear you clearly, the fire alarm is too loud!”  Agent: “Please listen carefully…”  System: Communication failure.                                                                                                    | System: silent_mode activated.  Agent sends visual instructions instead.  Screen shows large instructions: “Move to window. Stay low. Cover mouth.”                                                                                          |
| translate             | Multilingual response         | Victim: speaking Spanish but system answers only English instructions. Victim confused.                                                                                                                                               | System: translate enabled.  Agent instructions delivered in victim’s language instantly.                                                                                                                                                     |
| guide_victim          | Lack of evacuation guidance   | Victim: “What should I do?”  Agent: “Try to leave if possible.”  System: vague guidance.                                                                                                                                              | System: guide_victim activated.  Agent: “Stay low under smoke. Move toward the window on your left. Signal responders.”                                                                                                                      |
| send_alert            | Alerting emergency teams      | Victim: “Is anyone coming?”  Agent: “We are still processing your case.”                                                                                                                                                              | System: send_alert executed.  Fire department notified immediately.  Agent: “Emergency services alerted. Stay near the window.”                                                                                                              |
| coordinate_responders | Multiple responders confusion | Agent: “Police and fire are trying to coordinate.”  System: delayed rescue due to miscommunication.                                                                                                                                   | System: coordinate_responders synchronizes responders.  Agent: “Fire team entering building. Medical team ready outside.”                                                                                                                    |
| fetch_location        | Location detection            | Victim: “I am in my apartment.”  Agent: “Can you give the exact address?”  Victim coughing, unable to respond.                                                                                                                        | System: fetch_location retrieves location automatically.  Agent: “We located your building. Responders are on the way.”                                                                                                                      |
